mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,A0NVTRV,30,Mean,11.92,12.0,120.3,0.0003,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,277.02,0.0007,2866.82
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_100,25.26,10.0,492.16,0.0013,2816.57
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_200,24.39,9.0,566.93,0.0015,2919.14
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_100,17.72,8.0,390.22,0.0011,2509.95
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_200,21.83,10.0,402.37,0.0011,2590.51
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_100,18.89,8.0,391.66,0.0011,2448.0
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_200,19.32,9.0,404.82,0.0011,2516.74
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_100,23.32,9.0,627.49,0.0017,3288.05
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_200,20.64,9.0,695.27,0.0019,3314.25
S1,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_100,26.02,11.0,456.02,0.0012,2614.35
S1,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_200,18.98,9.0,475.53,0.0013,2875.95
S1,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_100,16.54,8.0,411.69,0.0011,2541.06
S1,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_200,20.15,9.0,452.32,0.0012,2739.27
S1,A0NVTRV,30,Mean,11.92,12.0,120.3,0.0003,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,277.02,0.0007,2866.82
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_100,25.26,10.0,492.16,0.0013,2816.57
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_200,24.39,9.0,566.93,0.0015,2919.14
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_100,17.72,8.0,390.22,0.0011,2509.95
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_200,21.83,10.0,402.37,0.0011,2590.51
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_100,18.89,8.0,391.66,0.0011,2448.0
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_200,19.32,9.0,404.82,0.0011,2516.74
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_100,23.32,9.0,627.49,0.0017,3288.05
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_200,20.64,9.0,695.27,0.0019,3314.25
S1,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_100,26.02,11.0,456.02,0.0012,2614.35
S1,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_200,18.98,9.0,475.53,0.0013,2875.95
S1,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_100,16.54,8.0,411.69,0.0011,2541.06
S1,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_200,20.15,9.0,452.32,0.0012,2739.27
S2,A0NVTRV,30,Mean,14.44,15.0,118.29,0.0003,1760.27
S2,A0NVTRV,30,HT,14.69,12.0,275.2,0.0007,2783.97
S2,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_100,40.66,22.0,473.53,0.0013,2830.85
S2,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_200,41.46,20.0,532.83,0.0014,2889.65
S2,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_100,33.49,18.0,408.64,0.0011,2497.2
S2,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_200,38.02,20.0,403.14,0.0011,2612.07
S2,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_100,28.43,16.0,400.44,0.0011,2489.0
S2,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_200,30.59,19.0,366.4,0.001,2507.19
S2,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_100,40.35,20.0,599.52,0.0016,3197.26
S2,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_200,40.93,19.0,631.65,0.0017,3180.3
S2,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_100,32.12,20.0,448.74,0.0012,2643.43
S2,A0NVTRV,30,HAT-KS_a_00001-w_2000-s_200,27.19,17.0,472.77,0.0013,2866.93
S2,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_100,27.59,17.0,417.78,0.0011,2567.77
S2,A0NVTRV,30,HAT-KS_a_00001-w_3000-s_200,24.89,15.0,417.72,0.0011,2633.11
S1,A0NVTRV,30,Mean,11.92,12.0,120.3,0.0003,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,277.02,0.0007,2866.82
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_100,25.26,10.0,492.16,0.0013,2816.57
S1,A0NVTRV,30,HAT-KS_a_0001-w_1000-s_200,24.39,9.0,566.93,0.0015,2919.14
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_100,17.72,8.0,390.22,0.0011,2509.95
S1,A0NVTRV,30,HAT-KS_a_0001-w_2000-s_200,21.83,10.0,402.37,0.0011,2590.51
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_100,18.89,8.0,391.66,0.0011,2448.0
S1,A0NVTRV,30,HAT-KS_a_0001-w_3000-s_200,19.32,9.0,404.82,0.0011,2516.74
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_100,23.32,9.0,627.49,0.0017,3288.05
S1,A0NVTRV,30,HAT-KS_a_00001-w_1000-s_200,20.64,9.0,695.27,0.0019,3314.25
