mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,A0NVTRV,30,Mean,11.92,12.0,123.35,0.0003,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,282.81,0.0008,2866.8
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_1000,19.4,9.0,419.19,0.0011,2286.6
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_5000,17.45,9.0,458.32,0.0012,2374.06
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_1000,20.78,8.0,406.95,0.0011,2278.06
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_5000,14.98,8.0,463.93,0.0012,2395.12
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_1000,19.4,9.0,424.12,0.0011,2286.63
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_5000,17.45,9.0,460.33,0.0012,2374.02
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_1000,20.78,8.0,396.07,0.0011,2278.11
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_5000,14.98,8.0,452.02,0.0012,2395.1
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_32-mw_1000,19.4,9.0,405.91,0.0011,2286.62
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_32-mw_5000,17.45,9.0,470.64,0.0013,2374.04
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_100-mw_1000,20.78,8.0,399.51,0.0011,2278.1
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_100-mw_5000,14.98,8.0,468.52,0.0013,2395.1
S1,A0NVTRV,30,Mean,11.92,12.0,123.35,0.0003,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,282.81,0.0008,2866.8
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_1000,19.4,9.0,419.19,0.0011,2286.6
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_5000,17.45,9.0,458.32,0.0012,2374.06
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_1000,20.78,8.0,406.95,0.0011,2278.06
S1,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_5000,14.98,8.0,463.93,0.0012,2395.12
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_1000,19.4,9.0,424.12,0.0011,2286.63
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_5000,17.45,9.0,460.33,0.0012,2374.02
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_1000,20.78,8.0,396.07,0.0011,2278.11
S1,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_5000,14.98,8.0,452.02,0.0012,2395.1
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_32-mw_1000,19.4,9.0,405.91,0.0011,2286.62
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_32-mw_5000,17.45,9.0,470.64,0.0013,2374.04
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_100-mw_1000,20.78,8.0,399.51,0.0011,2278.1
S1,A0NVTRV,30,HAT-ADWIN_d_0002-c_100-mw_5000,14.98,8.0,468.52,0.0013,2395.1
S2,A0NVTRV,30,Mean,14.44,15.0,120.56,0.0003,1760.27
S2,A0NVTRV,30,HT,14.69,12.0,280.18,0.0008,2783.97
S2,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_1000,25.11,15.0,412.71,0.0011,2279.5
S2,A0NVTRV,30,HAT-ADWIN_d_0005-c_32-mw_5000,19.61,13.0,462.06,0.0012,2341.86
S2,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_1000,24.68,14.0,410.99,0.0011,2294.36
S2,A0NVTRV,30,HAT-ADWIN_d_0005-c_100-mw_5000,17.16,12.0,446.32,0.0012,2360.61
S2,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_1000,25.11,15.0,410.09,0.0011,2279.51
S2,A0NVTRV,30,HAT-ADWIN_d_001-c_32-mw_5000,19.61,13.0,467.46,0.0013,2341.86
S2,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_1000,24.68,14.0,408.71,0.0011,2294.35
S2,A0NVTRV,30,HAT-ADWIN_d_001-c_100-mw_5000,17.16,12.0,463.54,0.0012,2360.6
