mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S2,A0NVTRV,30,mean,14.44,15.0,81.94,0.0002,1760.27
S2,A0NVTRV,30,tree-no-cd,11.74,10.0,245.13,0.0007,2458.6
S2,A0NVTRV,30,tree-ad-base,22.58,16.0,243.95,0.0007,2296.0
S3,A0NVTRV,30,mean,21.79,20.0,91.19,0.0002,1762.48
S3,A0NVTRV,30,tree-no-cd,16.76,14.0,262.4,0.0007,2490.8
S3,A0NVTRV,30,tree-ad-base,20.75,16.0,260.37,0.0007,2303.85
S1,A0NVTRV,30,mean,8.81,8.0,84.88,0.0002,1763.43
S1,A0NVTRV,30,tree-no-cd,5.96,4.0,238.82,0.0006,2434.95
S1,A0NVTRV,30,tree-ad-base,13.25,5.0,269.26,0.0007,2270.8
