mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,AOYM4KG,30,HAT-PH_d_09-t_900-mi_10000,22.4,13.0,136.08,0.0009,924.21
S1,AOYM4KG,30,HAT-PH_d_09-t_900-mi_11000,20.36,9.0,151.4,0.001,960.65
S1,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_10000,22.4,13.0,145.74,0.001,924.21
S1,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_11000,20.36,9.0,139.47,0.001,960.65
S1,AQC0L71,30,HAT-PH_d_05-t_900-mi_10000,21.46,9.0,434.45,0.0008,3237.17
S1,AQC0L71,30,HAT-PH_d_05-t_900-mi_11000,18.05,8.0,404.26,0.0008,3276.05
S1,AQC0L71,30,HAT-PH_d_05-t_1000-mi_10000,23.08,10.0,468.3,0.0009,3262.68
S1,AQC0L71,30,HAT-PH_d_05-t_1000-mi_11000,21.02,10.0,437.28,0.0008,3276.82
S1,AQC0L71,30,HAT-PH_d_08-t_900-mi_10000,23.31,10.0,440.35,0.0009,3241.15
S1,AQC0L71,30,HAT-PH_d_08-t_900-mi_11000,21.47,9.0,460.88,0.0009,3255.34
S1,AQC0L71,30,HAT-PH_d_08-t_1000-mi_10000,21.37,9.0,448.93,0.0009,3294.76
S1,AQC0L71,30,HAT-PH_d_08-t_1000-mi_11000,18.41,8.0,458.98,0.0009,3291.42
S1,AQC0L71,30,HAT-PH_d_09-t_900-mi_10000,22.83,9.0,446.03,0.0009,3257.47
S1,AQC0L71,30,HAT-PH_d_09-t_900-mi_11000,20.46,8.0,460.03,0.0009,3310.15
S1,AQC0L71,30,HAT-PH_d_09-t_1000-mi_10000,22.63,10.0,388.82,0.0008,3240.68
S1,AQC0L71,30,HAT-PH_d_09-t_1000-mi_11000,20.33,8.0,461.17,0.0009,3286.62
S2,A0NVTRV,30,HAT-PH_d_05-t_900-mi_10000,20.91,14.0,314.03,0.0008,2326.6
S2,A0NVTRV,30,HAT-PH_d_05-t_900-mi_11000,15.06,11.0,295.73,0.0008,2351.64
S2,A0NVTRV,30,HAT-PH_d_05-t_1000-mi_10000,20.66,13.0,329.19,0.0009,2326.78
S2,A0NVTRV,30,HAT-PH_d_05-t_1000-mi_11000,21.36,14.0,338.75,0.0009,2336.02
S2,A0NVTRV,30,HAT-PH_d_08-t_900-mi_10000,16.61,11.0,327.08,0.0009,2333.76
S2,A0NVTRV,30,HAT-PH_d_08-t_900-mi_11000,17.79,12.0,277.83,0.0007,2361.45
S2,A0NVTRV,30,HAT-PH_d_08-t_1000-mi_10000,19.56,12.0,325.37,0.0009,2356.57
S2,A0NVTRV,30,HAT-PH_d_08-t_1000-mi_11000,17.69,12.0,286.24,0.0008,2339.68
S2,A0NVTRV,30,HAT-PH_d_09-t_900-mi_10000,18.2,12.0,336.45,0.0009,2340.29
S2,A0NVTRV,30,HAT-PH_d_09-t_900-mi_11000,16.05,13.0,327.65,0.0009,2347.94
S2,A0NVTRV,30,HAT-PH_d_09-t_1000-mi_10000,20.86,13.0,325.51,0.0009,2320.96
S2,A0NVTRV,30,HAT-PH_d_09-t_1000-mi_11000,16.46,13.0,338.58,0.0009,2347.21
S2,AOYM4KG,30,HAT-PH_d_05-t_900-mi_10000,29.22,27.0,130.16,0.0009,944.62
S2,AOYM4KG,30,HAT-PH_d_05-t_900-mi_11000,26.44,21.0,130.49,0.0009,928.23
S2,AOYM4KG,30,HAT-PH_d_05-t_1000-mi_10000,29.22,27.0,144.45,0.001,944.61
S2,AOYM4KG,30,HAT-PH_d_05-t_1000-mi_11000,26.44,21.0,124.22,0.0008,928.22
S2,AOYM4KG,30,HAT-PH_d_08-t_900-mi_10000,29.22,27.0,139.25,0.001,944.61
S2,AOYM4KG,30,HAT-PH_d_08-t_900-mi_11000,26.44,21.0,129.53,0.0009,928.23
S2,AOYM4KG,30,HAT-PH_d_08-t_1000-mi_10000,29.22,27.0,137.1,0.0009,944.61
S2,AOYM4KG,30,HAT-PH_d_08-t_1000-mi_11000,26.44,21.0,138.94,0.0009,928.23
S2,AOYM4KG,30,HAT-PH_d_09-t_900-mi_10000,29.22,27.0,153.25,0.001,944.61
S2,AOYM4KG,30,HAT-PH_d_09-t_900-mi_11000,26.44,21.0,132.02,0.0009,928.22
S2,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_10000,29.23,26.0,132.26,0.0009,933.2
S2,AOYM4KG,30,HAT-PH_d_09-t_1000-mi_11000,26.44,21.0,132.68,0.0009,928.22
S2,AQC0L71,30,HAT-PH_d_05-t_900-mi_10000,23.41,16.0,420.95,0.0008,3275.49
S2,AQC0L71,30,HAT-PH_d_05-t_900-mi_11000,28.78,18.0,492.48,0.001,3277.5
S2,AQC0L71,30,HAT-PH_d_05-t_1000-mi_10000,25.59,16.0,430.2,0.0008,3276.07
S2,AQC0L71,30,HAT-PH_d_05-t_1000-mi_11000,26.49,17.0,378.57,0.0007,3297.37
S2,AQC0L71,30,HAT-PH_d_08-t_900-mi_10000,26.29,16.0,433.16,0.0008,3255.04
S2,AQC0L71,30,HAT-PH_d_08-t_900-mi_11000,24.05,15.0,410.76,0.0008,3319.01
S2,AQC0L71,30,HAT-PH_d_08-t_1000-mi_10000,26.64,16.0,471.75,0.0009,3246.11
S2,AQC0L71,30,HAT-PH_d_08-t_1000-mi_11000,28.37,18.0,439.55,0.0009,3285.52
S2,AQC0L71,30,HAT-PH_d_09-t_900-mi_10000,25.49,16.0,478.41,0.0009,3290.07
S2,AQC0L71,30,HAT-PH_d_09-t_900-mi_11000,24.23,16.0,419.89,0.0008,3282.26
S2,AQC0L71,30,HAT-PH_d_09-t_1000-mi_10000,25.33,15.0,472.73,0.0009,3254.39
S2,AQC0L71,30,HAT-PH_d_09-t_1000-mi_11000,26.57,17.0,478.15,0.0009,3334.09
